density, stage 1, stage 2, stage 3, total, conv 1, conv 2, ppu 1, ppu 2
bitwidth parallel sparsity,0,16,0.9
0.9,865,895,210,1970,865,895,200,210
0.9,972,853,207,2032,972,853,198,207
0.9,897,906,213,2016,897,906,207,213
0.9,843,824,205,1872,843,824,205,205
0.9,904,914,198,2016,904,914,189,198
0.9,859,941,207,2007,859,941,198,207
0.9,887,851,196,1934,887,851,198,196
0.9,899,910,191,2000,899,910,207,191
0.9,909,868,202,1979,909,868,198,202
0.9,947,935,202,2084,947,935,202,202
bitwidth parallel sparsity,1,8,0.9
0.9,1221,1254,201,2676,1221,1254,199,201
0.9,1280,1297,204,2781,1280,1297,192,204
0.9,1262,1310,199,2771,1262,1310,205,199
0.9,1268,1195,201,2664,1268,1195,200,201
0.9,1237,1348,207,2792,1237,1348,203,207
0.9,1283,1384,209,2876,1283,1384,197,209
0.9,1279,1285,217,2781,1279,1285,201,217
0.9,1365,1302,194,2861,1365,1302,213,194
0.9,1307,1236,201,2744,1307,1236,207,201
0.9,1362,1180,202,2744,1362,1180,195,202
bitwidth parallel sparsity,2,4,0.9
0.9,1767,1831,200,3798,1767,1831,206,200
0.9,1669,1994,209,3872,1669,1994,206,209
0.9,1717,1851,206,3774,1717,1851,204,206
0.9,1702,1791,202,3695,1702,1791,197,202
0.9,1897,1911,192,4000,1897,1911,210,192
0.9,1558,1774,201,3533,1558,1774,204,201
0.9,1770,1852,206,3828,1770,1852,205,206
0.9,1735,1737,191,3663,1735,1737,198,191
0.9,1721,1897,198,3816,1721,1897,202,198
0.9,1793,1932,203,3928,1793,1932,219,203
