density, stage 1, stage 2, stage 3, total, conv 1, conv 2, ppu 1, ppu 2
bitwidth parallel sparsity,0,16,0.95
0.95,275,276,194,745,275,276,195,194
0.95,305,282,198,785,305,282,200,198
0.95,286,277,206,769,286,277,207,206
0.95,278,277,205,760,278,277,201,205
0.95,301,276,208,785,301,276,193,208
0.95,315,261,204,780,315,261,205,204
0.95,302,328,195,825,302,328,199,195
0.95,241,312,205,758,241,312,202,205
0.95,286,270,201,757,286,270,193,201
0.95,268,309,186,763,268,309,197,186
bitwidth parallel sparsity,1,8,0.95
0.95,421,497,204,1122,421,497,191,204
0.95,444,474,201,1119,444,474,199,201
0.95,465,437,191,1093,465,437,198,191
0.95,522,437,208,1167,522,437,200,208
0.95,449,495,214,1158,449,495,215,214
0.95,421,440,202,1063,421,440,205,202
0.95,454,472,202,1128,454,472,211,202
0.95,446,522,198,1166,446,522,205,198
0.95,430,511,199,1140,430,511,200,199
0.95,443,505,202,1150,443,505,197,202
bitwidth parallel sparsity,2,4,0.95
0.95,764,652,196,1612,764,652,200,196
0.95,740,794,208,1742,740,794,202,208
0.95,693,705,206,1604,693,705,209,206
0.95,647,666,202,1515,647,666,200,202
0.95,731,780,187,1698,731,780,208,187
0.95,647,660,181,1488,647,660,206,181
0.95,711,602,209,1522,711,602,197,209
0.95,727,823,194,1744,727,823,205,194
0.95,728,756,188,1672,728,756,203,188
0.95,644,780,213,1637,644,780,190,213
