density, stage 1, stage 2, stage 3, total, conv 1, conv 2, ppu 1, ppu 2
bitwidth parallel sparsity,0,16,0.7
0.7,5869,6024,198,12091,5869,6024,204,198
0.7,5924,5753,193,11870,5924,5753,200,193
0.7,5815,5902,208,11925,5815,5902,206,208
0.7,5732,6072,205,12009,5732,6072,193,205
0.7,6084,5871,216,12171,6084,5871,195,216
0.7,5915,5942,199,12056,5915,5942,193,199
0.7,5878,5586,205,11669,5878,5586,203,205
0.7,5707,5951,193,11851,5707,5951,192,193
0.7,6000,5940,213,12153,6000,5940,196,213
0.7,5530,5872,197,11599,5530,5872,203,197
bitwidth parallel sparsity,1,8,0.7
0.7,7813,7678,196,15687,7813,7678,213,196
0.7,7572,7482,206,15260,7572,7482,212,206
0.7,7406,7570,201,15177,7406,7570,210,201
0.7,7544,7755,196,15495,7544,7755,199,196
0.7,7771,7481,191,15443,7771,7481,205,191
0.7,7812,7782,205,15799,7812,7782,213,205
0.7,7795,7783,190,15768,7795,7783,202,190
0.7,8045,7634,195,15874,8045,7634,204,195
0.7,7803,7534,206,15543,7803,7534,204,206
0.7,7866,7772,206,15844,7866,7772,219,206
bitwidth parallel sparsity,2,4,0.7
0.7,10335,10195,199,20729,10335,10195,203,199
0.7,10386,9967,203,20556,10386,9967,201,203
0.7,10329,10114,205,20648,10329,10114,202,205
0.7,9888,10417,194,20499,9888,10417,204,194
0.7,9899,10527,203,20629,9899,10527,204,203
0.7,9784,10291,206,20281,9784,10291,200,206
0.7,9945,10359,202,20506,9945,10359,204,202
0.7,10124,9737,196,20057,10124,9737,203,196
0.7,10068,10545,201,20814,10068,10545,208,201
0.7,10176,10271,200,20647,10176,10271,205,200
