density, stage 1, stage 2, stage 3, total, conv 1, conv 2, ppu 1, ppu 2
bitwidth parallel sparsity,0,16,0.3
0.3,28727,28094,212,57033,28727,28094,207,212
0.3,28664,27686,190,56540,28664,27686,195,190
0.3,28361,28467,192,57020,28361,28467,207,192
0.3,27863,28236,199,56298,27863,28236,202,199
0.3,28153,27989,200,56342,28153,27989,202,200
0.3,28250,27636,191,56077,28250,27636,205,191
0.3,28186,28266,202,56654,28186,28266,196,202
0.3,27988,28576,197,56761,27988,28576,203,197
0.3,28031,28392,218,56641,28031,28392,208,218
0.3,28171,28256,201,56628,28171,28256,210,201
bitwidth parallel sparsity,1,8,0.3
0.3,31655,31909,192,63756,31655,31909,206,192
0.3,31851,31537,207,63595,31851,31537,204,207
0.3,31965,31926,205,64096,31965,31926,211,205
0.3,31654,31945,201,63800,31654,31945,205,201
0.3,31164,31681,204,63049,31164,31681,197,204
0.3,32394,31771,208,64373,32394,31771,204,208
0.3,31310,31675,202,63187,31310,31675,196,202
0.3,31573,31750,198,63521,31573,31750,206,198
0.3,32010,31957,202,64169,32010,31957,210,202
0.3,32218,32579,198,64995,32218,32579,192,198
bitwidth parallel sparsity,2,4,0.3
0.3,54282,54523,190,108995,54282,54523,193,190
0.3,53522,53815,207,107544,53522,53815,201,207
0.3,54868,53991,204,109063,54868,53991,199,204
0.3,53683,53894,205,107782,53683,53894,198,205
0.3,55427,53743,199,109369,55427,53743,205,199
0.3,54403,55063,191,109657,54403,55063,190,191
0.3,53140,54499,199,107838,53140,54499,204,199
0.3,53667,53138,197,107002,53667,53138,203,197
0.3,54066,55051,207,109324,54066,55051,191,207
0.3,53443,54622,202,108267,53443,54622,210,202
